city,dish_name,category,description
Mangaluru,Patholi,sweet,"Coconut-jaggery stuffed rice cakes steamed in turmeric leaves."
Mangaluru,Bangude Pulimunchi,nonveg,"Spicy and tangy mackerel curry from coastal Karnataka."
Mangaluru,Seer Fish Fry,nonveg,"King fish slices marinated with red masala and shallow fried."
Udupi,Thali Meals at Temple,veg,"Simple sattvic meals served near Krishna temple, without onion or garlic."
Udupi,Vada Sambar,veg,"Crispy medu vada soaked in sambar, served hot."
Udupi,Sajjige Bajil,veg,"Combination of upma (sajjige) and spiced poha (bajil), popular breakfast dish."
Udupi,Bonda Soup,veg,"Crispy bonda served in light, flavorful soup."
Gokarna,Banana Pancakes,veg,"Backpacker-friendly sweet pancakes available near beaches."
Gokarna,Thali with Fish Sukka,nonveg,"Local thali featuring dry spiced fish preparation with coconut."
Gokarna,Mango Curry Seasonal,veg,"Tangy raw mango curry served in season with rice."
Chikkamagaluru,Ellu Pajji,veg,"Sesame-based chutney or side dish served with rice or rotti."
Chikkamagaluru,Naati Koli Saaru,nonveg,"Country chicken curry popular in Malnad region."
Chikkamagaluru,Jackfruit Chips,veg,"Crispy chips made from raw jackfruit, common hill-station snack."
Madikeri,Pandi Curry with Kadumbuttu,nonveg,"Coorg pork curry served with steamed rice balls (kadumbuttu)."
Madikeri,Koli Curry (Coorg style),nonveg,"Spicy Coorg-style chicken curry with local masala."
Madikeri,Honey Cake Local Bakery,sweet,"Soft cake soaked in honey syrup, common in Coorg bakeries."
Hampi,Mirchi Bajji,veg,"Green chilli bajjis sold near temple and river ghats."
Hampi,Churumuri,veg,"Puffed rice snack mixed with onion, tomato and masala."
Hampi,Filter Coffee Street Stall,veg,"Strong filter coffee served in small roadside stalls."
Dharmasthala,Curd Rice,veg,"Comforting curd rice often part of temple or hotel meals."
Dharmasthala,Plain Dosa,veg,"Simple dosa served in local lodges around temple area."
Kukke,Vade-Sambar (Tiffin),veg,"Crispy vadas served with sambar as a filling breakfast."
Kukke,Chitranna (Lemon Rice),veg,"Lemon rice given in tiffin centers and small hotels around temple."
Kukke,Curd Rice,veg,"Mild curd rice, common comfort food for pilgrims."
